State,X,Y,Num_Cases,Area Diverted (in Hectare)
Andaman and Nicobar Islands,11.7401,92.6586,94,2579.29
Andhra Pradesh,15.9129,79.74,359,26271.95
Arunachal Pradesh,28.218,94.7278,202,19159.3
Assam,26.2006,92.9376,243,3937.4
Bihar,25.0961,85.3131,194,5974.58
Chandigarh,30.7333,76.7794,33,90.77
Chhattisgarh,21.2787,81.8661,431,85424.21
Dadar and Nagar Haveli,20.1809,73.0169,150,276.53
Daman and Diu,20.3974,72.8328,1,3.95
Delhi,28.7041,77.1025,15,42.21
Goa,15.2993,74.124,87,2065.34
Gujarat,22.2587,71.1924,1452,65751.63
Haryana,29.0588,76.0856,3394,7260.05
Himachal Pradesh,31.1048,77.1734,1469,12935.73
Jammu and Kashmir,33.2778,75.3412,7,656.45
Jharkhand,23.6102,85.2799,333,22155.94
Karnataka,15.3173,75.7139,766,46041.06
Kerala,10.8505,76.2711,227,40765.63
Lakshadweep,13.6999,72.1833,0,0
Madhya Pradesh,22.9734,78.6569,1037,249708.4
Maharashtra,19.7515,75.7139,1410,61615.64
Manipur,24.6637,93.9063,39,3203.17
Meghalaya,25.467,91.3662,97,772.77
Mizoram,23.1645,92.9376,24,6237.48
Nagaland,26.1584,94.5624,0,0
Orissa,20.9517,85.0985,508,50182.8
Pondicherry,11.9416,79.8083,1,0.96
Punjab,31.1471,75.3412,4170,68872.63
Rajasthan,27.0238,74.2179,691,28112.68
Sikkim,27.533,88.5122,405,2764.88
Tamil Nadu,11.1271,78.6569,476,2586.37
Telangana,18.1124,79.0193,241,27542.55
Tripura,23.9408,91.9882,321,7909.38
Uttar Pradesh,26.8467,80.9462,926,19556.64
Uttarakhand,30.0668,79.0193,4260,43233.42
West Bengal,22.9868,87.855,115,4520.91
